,iati id,project,sector code,sector name,publisher,provider/buyer,year,currency,disbusment
0,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2011,USD,"94,628,919"
1,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2012,USD,"4,282,222"
2,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2013,USD,"12,730,488"
3,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2014,USD,"19,926,327"
4,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2015,USD,"19,395,539"
5,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2016,USD,"87,038,982"
6,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2017,USD,"11,395,034"
7,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2018,USD,"10,379,825"
8,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2019,USD,"15,232,997"
9,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2020,USD,"33,849,191"
10,44000-P117365,Urban Water and Sanitation Project,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2021,USD,"3,001,641"
11,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2011,USD,"94,628,919"
12,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2012,USD,"4,282,222"
13,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2013,USD,"12,730,488"
14,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2014,USD,"19,926,327"
15,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2015,USD,"19,395,539"
16,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2016,USD,"87,038,982"
17,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2017,USD,"11,395,034"
18,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2018,USD,"10,379,825"
19,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2019,USD,"15,232,997"
20,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2020,USD,"33,849,191"
21,44000-P117365,Urban Water and Sanitation Project,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2021,USD,"3,001,641"
22,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2011,USD,"94,628,919"
23,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2012,USD,"4,282,222"
24,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2013,USD,"12,730,488"
25,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2014,USD,"19,926,327"
26,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2015,USD,"19,395,539"
27,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2016,USD,"87,038,982"
28,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2017,USD,"11,395,034"
29,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2018,USD,"10,379,825"
30,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2019,USD,"15,232,997"
31,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2020,USD,"33,849,191"
32,44000-P117365,Urban Water and Sanitation Project,14022,Sanitation - large systems,World Bank,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",2021,USD,"3,001,641"
33,44000-P169830,Niger First Laying the Foundation for Inclusive Development Policy Financing,14010,Water sector policy and administrative management,World Bank,"International Development Association,Republic of Niger,International Development Association,Ministry of Planning",2019,USD,"526,083,607"
34,44000-P169830,Niger First Laying the Foundation for Inclusive Development Policy Financing,14021,Water supply - large systems,World Bank,"International Development Association,Republic of Niger,International Development Association,Ministry of Planning",2019,USD,"526,083,607"
35,46002-P-NE-E00-001,"ASSAINISSEMENT DE LA VILLE DE NIAMEY,Assainissement de la Ville de Niamey",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Government Of Niger,MINISTERE DU PLAN,MINISTERE DU PLAN",1983,XDR,"10,541,458"
36,46002-P-NE-E00-001,"ASSAINISSEMENT DE LA VILLE DE NIAMEY,Assainissement de la Ville de Niamey",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Government Of Niger,MINISTERE DU PLAN,MINISTERE DU PLAN",2009,XDR,"10,543,550"
37,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2011,XDR,"16,196,749"
38,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2012,XDR,"152,060"
39,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2013,XDR,"445,692"
40,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2014,XDR,"3,419,792"
41,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2015,XDR,"3,086,341"
42,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2016,XDR,"5,134,925"
43,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2017,XDR,"1,451,039"
44,46002-P-NE-E00-003,"Niger - National Rural Drinking Water Supply and Sanitation Programme (NRDWSSP) (Phase II: Second Sub-Programme - 2011-2014),Niger - Programme national d’approvisionnement en eau potable et d’assainissement en milieu rural (PNAEPA) (Phase II : Deuxième sous-programme - 2011-2014)",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2018,XDR,"197,606"
45,46002-P-NE-EA0-001,"OPERATION 204 PUITS,Operation 204 Puits",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,MINISTERE DE L 'ECONOMIE ET DES FINANCES,MINISTERE DE L 'ECONOMIE ET DES FINANCES",1977,XDR,"2,519,077"
46,46002-P-NE-EA0-001,"OPERATION 204 PUITS,Operation 204 Puits",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,MINISTERE DE L 'ECONOMIE ET DES FINANCES,MINISTERE DE L 'ECONOMIE ET DES FINANCES",2009,XDR,"3,068,348"
47,46002-P-NE-EA0-003,"Niger - Rural Water supply Programme Study,Niger - Etude d’un programme d’hydraulique rurale au Niger",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Government Of Niger,MINISTERE DE L'AGRICULRURE ET DE  L'ENVIRONNEMENT DIRECTION DE L'AMENAGEMENT",2001,XDR,"997,935"
48,46002-P-NE-EA0-003,"Niger - Rural Water supply Programme Study,Niger - Etude d’un programme d’hydraulique rurale au Niger",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Government Of Niger,MINISTERE DE L'AGRICULRURE ET DE  L'ENVIRONNEMENT DIRECTION DE L'AMENAGEMENT",2009,XDR,"975,435"
49,46002-P-NE-EA0-004,"SONICHAR ADDUCTION D'EAU,Projet Sonichar d'adduction d'eau",14010,Water sector policy and administrative management,African Development Bank,"African Development Bank,MINISTERE DU PLAN,MINISTERE DU PLAN",1980,XDR,"4,072,339"
50,46002-P-NE-EA0-004,"SONICHAR ADDUCTION D'EAU,Projet Sonichar d'adduction d'eau",14010,Water sector policy and administrative management,African Development Bank,"African Development Bank,MINISTERE DU PLAN,MINISTERE DU PLAN",2009,XDR,"4,280,794"
51,46002-P-NE-EA0-005,"SONICHAR:ADDUCTION D'EAU,Projet Sonichar d'adduction d'eau",14010,Water sector policy and administrative management,African Development Bank,Nigerian Trust Fund,1978,XDR,"5,220,000"
52,46002-P-NE-EA0-005,"SONICHAR:ADDUCTION D'EAU,Projet Sonichar d'adduction d'eau",14010,Water sector policy and administrative management,African Development Bank,Nigerian Trust Fund,2009,XDR,"4,305,101"
53,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2007,XDR,"14,002,514"
54,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2009,XDR,"5,066,579"
55,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2010,XDR,"1,669,483"
56,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2011,XDR,"2,294,115"
57,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2012,XDR,"982,900"
58,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2013,XDR,"329,743"
59,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2014,XDR,"183,947"
60,46002-P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI\,TAHOUA ET TILLABERI,Projet d'approvisionnement en eau potable et assainissement en Milieu Rural dans les Régions de Maradi\,Tahoua et Tillaberi",14010,Water sector policy and administrative management,African Development Bank,"African Development Fund,Rural Water Supply & Sanitation,Government Of Niger,MINISTERE EN CHARGE DE L EAU",2015,XDR,"103,124"
61,46002-P-NE-EAZ-004,"Niger - Development and Implementation of the National Action Plan for Integrated Water Resources Management (PANGIRE),Niger - Élaboration et mise en œuvre du Plan d’Action de la Gestion Intégrée des Ressources en Eau (PANGIRE)",14010,Water sector policy and administrative management,African Development Bank,"AfricaWater Facility Fund,Ministère de l’hydraulique et de l’assainissement (MHA),MINISTERE EN CHARGE DE L EAU",2014,XDR,"907,286"
62,46002-P-NE-EAZ-004,"Niger - Development and Implementation of the National Action Plan for Integrated Water Resources Management (PANGIRE),Niger - Élaboration et mise en œuvre du Plan d’Action de la Gestion Intégrée des Ressources en Eau (PANGIRE)",14010,Water sector policy and administrative management,African Development Bank,"AfricaWater Facility Fund,Ministère de l’hydraulique et de l’assainissement (MHA),MINISTERE EN CHARGE DE L EAU",2015,XDR,"119,033"
63,46002-P-NE-EAZ-004,"Niger - Development and Implementation of the National Action Plan for Integrated Water Resources Management (PANGIRE),Niger - Élaboration et mise en œuvre du Plan d’Action de la Gestion Intégrée des Ressources en Eau (PANGIRE)",14010,Water sector policy and administrative management,African Development Bank,"AfricaWater Facility Fund,Ministère de l’hydraulique et de l’assainissement (MHA),MINISTERE EN CHARGE DE L EAU",2016,XDR,"44,907"
64,46002-P-NE-EAZ-004,"Niger - Development and Implementation of the National Action Plan for Integrated Water Resources Management (PANGIRE),Niger - Élaboration et mise en œuvre du Plan d’Action de la Gestion Intégrée des Ressources en Eau (PANGIRE)",14010,Water sector policy and administrative management,African Development Bank,"AfricaWater Facility Fund,Ministère de l’hydraulique et de l’assainissement (MHA),MINISTERE EN CHARGE DE L EAU",2017,XDR,"180,234"
65,46002-P-NE-EAZ-004,"Niger - Development and Implementation of the National Action Plan for Integrated Water Resources Management (PANGIRE),Niger - Élaboration et mise en œuvre du Plan d’Action de la Gestion Intégrée des Ressources en Eau (PANGIRE)",14010,Water sector policy and administrative management,African Development Bank,"AfricaWater Facility Fund,Ministère de l’hydraulique et de l’assainissement (MHA),MINISTERE EN CHARGE DE L EAU",2018,XDR,"355,074"
66,46002-P-NE-EAZ-004,"Niger - Development and Implementation of the National Action Plan for Integrated Water Resources Management (PANGIRE),Niger - Élaboration et mise en œuvre du Plan d’Action de la Gestion Intégrée des Ressources en Eau (PANGIRE)",14010,Water sector policy and administrative management,African Development Bank,"AfricaWater Facility Fund,Ministère de l’hydraulique et de l’assainissement (MHA),MINISTERE EN CHARGE DE L EAU",2019,XDR,"31,023"
67,AU-5-INJ144-NE,SWaSSA: Regional Water and Sanitation- AWF and WSP,14010,Water sector policy and administrative management,Australian Aid,"Name Withheld,AUSTRALIA,Australia - Department of Foreign Affairs and Trade",2009,AUD,"812,500"
68,AU-5-INJ144-NE,SWaSSA: Regional Water and Sanitation- AWF and WSP,14010,Water sector policy and administrative management,Australian Aid,"Name Withheld,AUSTRALIA,Australia - Department of Foreign Affairs and Trade",2010,AUD,"416,667"
69,AU-5-INJ144-NE,SWaSSA: Regional Water and Sanitation- AWF and WSP,14010,Water sector policy and administrative management,Australian Aid,"Name Withheld,AUSTRALIA,Australia - Department of Foreign Affairs and Trade",2011,AUD,"395,833"
70,CA-3-A033236001,"Poverty Reduction Local Fund - Phase II,Fonds d'appui à la lutte contre la pauvreté - phase II",14031,Basic drinking water supply,"Foreign Affairs\, Trade and Development Canada (DFATD),Affaires étrangères\, Commerce et Développement Canada (MAECD)","Canada,Canada,Canadian International Development Agency,Agence canadienne de développement international,Embassy of Canada to Niger,Ambassade du Canada au Niger",2007,CAD,"3,258,531"
71,CA-3-A033236001,"Poverty Reduction Local Fund - Phase II,Fonds d'appui à la lutte contre la pauvreté - phase II",14032,Basic sanitation,"Foreign Affairs\, Trade and Development Canada (DFATD),Affaires étrangères\, Commerce et Développement Canada (MAECD)","Canada,Canada,Canadian International Development Agency,Agence canadienne de développement international,Embassy of Canada to Niger,Ambassade du Canada au Niger",2007,CAD,"3,258,531"
72,CA-3-M013903001,"Climate Change Adaptation Facility,Mécanisme pour l’adaptation au changement climatique",14010,Water sector policy and administrative management,"Foreign Affairs\, Trade and Development Canada (DFATD),Affaires étrangères\, Commerce et Développement Canada (MAECD)","Canada,Canada,Canadian International Development Agency,Agence canadienne de développement international,UNDP - United Nations Development Programme,PNUD - Programme des Nations Unies pour le développement",2013,CAD,"33,000,000"
73,CH-4-2012006301,Programme d'hydraulique rurale N71,14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,"30,494"
74,CH-4-2012006301,Programme d'hydraulique rurale N71,14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,"-7,727"
75,CH-4-2012006301,Programme d'hydraulique rurale N71,14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,"30,494"
76,CH-4-2012006301,Programme d'hydraulique rurale N71,14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,"-7,727"
77,CH-4-2012006302,Programme d'hydraulique rurale N71,14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,"-52,769"
78,CH-4-2012006302,Programme d'hydraulique rurale N71,14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,"963,490"
79,CH-4-2012006302,Programme d'hydraulique rurale N71,14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,"-52,769"
80,CH-4-2012006302,Programme d'hydraulique rurale N71,14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,"963,490"
81,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2017,CHF,"9,547,994"
82,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2018,CHF,"1,300,000"
83,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2019,CHF,"1,956,018"
84,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2020,CHF,"1,473,400"
85,CH-4-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2017,CHF,"9,683,000"
86,CH-4-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2018,CHF,"2,095,069"
